1/1/2012,CALDAS,MANIZALES (CT),Domingo,15:00,BARRIO LA AVANZADA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,17001000,1
1/1/2012,CALDAS,SUPÍA,Domingo,15:00,BARRIO SAN LORENZO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,12,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,17777000,1
1/1/2012,CALDAS,VILLAMARÍA,Domingo,7:00,VDA EL DESQUITE,RURAL,FINCAS Y SIMILARES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,ANALFABETA,17873000,1
1/1/2012,CALDAS,VILLAMARÍA,Domingo,16:00,SECTOR EL BOMBAZO,URBANA,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,ANALFABETA,17873000,1
1/1/2012,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Domingo,0:00,CASERIO GUACAMAYAS,URBANA,FINCAS Y SIMILARES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ARMA BLANCA,A PIE,A PIE,NO REPORTADO,MASCULINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,18753000,1
1/1/2012,CASANARE,VILLANUEVA,Domingo,8:00,MORICHAL,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,85440000,1
1/1/2012,CAUCA,BALBOA,Domingo,5:00,Vda Pijal,RURAL,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADA,PRIMARIA,19075000,1
1/1/2012,CAUCA,EL TAMBO,Domingo,11:50,C/MIENTO PIAGUA,RURAL,VIAS PUBLICAS,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,19256000,1
1/1/2012,CAUCA,PAEZ,Domingo,15:00,Cacerio Villa del Prado Rio Chiquito,RURAL,VIAS PUBLICAS,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC,LICOR ADULTERADO,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,NO REPORTADA,PRIMARIA,19517000,1
1/1/2012,CESAR,CHIRIGUANÁ,Domingo,5:00,CENTRO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ARMA BLANCA,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,20178000,1
1/1/2012,CESAR,EL COPEY,Domingo,0:00,PIEDRAS AZULES,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,20238000,1
