1/1/2010,CHOCÓ,QUIBDÓ (CT),Viernes,0:00,KENNEDY,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,NO REPORTADO,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,27001000,1,,,
1/1/2010,CHOCÓ,QUIBDÓ (CT),Viernes,0:30,PARAISO,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,18,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,27001000,1,,,
1/1/2010,CHOCÓ,QUIBDÓ (CT),Viernes,9:00,SAMPER,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,27001000,1,,,
1/1/2010,CÓRDOBA,MONTERÍA (CT),Viernes,3:00,MI RANCHITO,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NO REPORTADO,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,23001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,0:00,BELLA SUIZA E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2:15,UNICENTRO E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,20,FEMENINO,NO REPORTADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,9:30,MARCO FIDEL SUAREZ E-18,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,20,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,11:00,FRANCISCO JOSE DE CALDASS   E-8,URBANA,VIAS PUBLICAS,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,9,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,11:00,FRANCISCO JOSE DE CALDASS   E-8,URBANA,VIAS PUBLICAS,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,42,FEMENINO,NO REPORTADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,12:20,SANTA MATILDE I SECTOR E-16,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,24,MASCULINO,NO REPORTADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,19:25,LOS CEREZOS E-10,URBANA,CASAS DE HABITACION,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),NO REPORTADO,A PIE,A PIE,32,FEMENINO,NO REPORTADO,COLOMBIA,ESTUDIANTE,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,19:25,LOS CEREZOS E-10,URBANA,CASAS DE HABITACION,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),NO REPORTADO,A PIE,A PIE,33,FEMENINO,NO REPORTADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,11001000,1,,,
1/1/2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,23:00,LA AURORA I SECTOR E-5,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,11001000,1,,,
