0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,9:44:00,JUAN REY E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,,1
1/1/2019,CUNDINAMARCA,PUERTO SALGAR,Martes,3:30:00,INS. PUERTO LIBRE,RURAL,ESTABLECIMIENTO PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,25572000,,1
1/1/2019,GUAJIRA,MAICAO,Martes,5:10:00,SAN MARTIN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,VENEZUELA,EMPLEADO PARTICULAR,-,SECUNDARIA,44430000,,1
1/1/2019,HUILA,GARZÓN,Martes,8:00:00,VEREDA EL PESCADO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,46,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,41298000,,1
1/1/2019,HUILA,LA PLATA,Martes,23:50:00,VEREDA SANTA MARTHA,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,53,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,41396000,,1
1/1/2019,HUILA,NEIVA (CT),Martes,1:30:00,LA INDEPENDENCIA BAJA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,41001000,,1
1/1/2019,HUILA,NEIVA (CT),Martes,21:20:00,TIMANCO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,41001000,,1
1/1/2019,HUILA,SALADOBLANCO,Martes,15:30:00,VEREDA LAS MERCEDES,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,41660000,,1
1/1/2019,HUILA,TIMANÁ,Martes,7:00:00,VEREDA ALTO DE SANTA BÁRBARA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,SECUNDARIA,41807000,,1
1/1/2019,HUILA,TIMANÁ,Martes,7:00:00,VEREDA ALTO DE SANTA BÁRBARA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,41807000,,1
1/1/2019,HUILA,TIMANÁ,Martes,7:00:00,VEREDA ALTO DE SANTA BÁRBARA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,66,MASCULINO,CASADO,COLOMBIA,AGRICULTOR,-,PRIMARIA,41807000,,1
1/1/2019,MAGDALENA,FUNDACIÓN,Martes,13:40:00,SANTA HELENA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,47288000,,1
1/1/2019,MAGDALENA,ZONA BANANERA,Martes,1:00:00,CORREGIMIENTO ORIHUECA,URBANA,ESTADERO,ARMA DE FUEGO,A PIE,A PIE,23,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,47980000,,1
